code_chorus;id;designation_site;designation_batiment_terrain;type;fonction;adresse;ville;dept;code_postal;code_insee;libelle_nouvelle_region;pays;latitude;longitude;ministere;libelle_gestionnaire;type_gestionnaire;libelle_proprietaire;type_proprietaire;surface_m2;consommation_kwh_ef;type_de_chauffage;etat_de_sante;annee_de_construction;tri_des_dechets;erp;date_de_reference
DOM2/138144/191498;IB00100011296;LYCEE PROFESSIONNEL  DE  DZOUMOGNE;LPRO  DZOUMOGNE  BAT A;Bâtiment d'enseignement ou de sport;Bâtiment scolaire/enseignement;QUA DU COLLEGE DE DZOUMOGNE;Bandraboua;976;97650;97602;Départements d'Outre-Mer;France;-12.722333;45.118362;Education nationale - Enseignement supérieur;Enseignement du second degré.;Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;1944.0;;;Pas satisfaisant;1985;;Oui;2021-12-31
IDF1/100909/146706;IB00100042431;STATUE D' HENRI IV;STATUE D'HENRI IV;Monument et mémorial;Monument;PL DU PONT NEUF;Paris 1er Arrondissement;75;75001;75101;Ile-de-France;France;48.856931;2.341358;Culture;Culture-Patrimoines-MonumentsHistoriques;Etat;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;190.0;;;;1818;;Non;2021-12-31
"M$.U/=Y?QSX^,L#7P.SG\""/EZS\X:!D*3]?,.2+86DD!*/J'%T85[CR4N#R2-7T5AN1-";"I#8U=LKR.ZL0F[;]5.0CU)";Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bureau;Consulat;500  GRANDE ALLEE EST;QUEBEC;N/A;G1R 2J5;CA006;Étranger;Canada;;;Affaires étrangères;Consulats.;Etat;PERSONNE MORALE DE DROIT PRIVE Société, association, groupement éco... Partenaire générique;Pers.Mor.Privé;620.52;;;;;;Oui;2021-12-31
"M$.U/=Y?QSX^,L#7P.SG\""/KLQJSIU6CD(-Q>59`RJ[%0/F.AL=D_IFK%VGBLT':2KK""";H:Q6*,=ASR:UIA]#-=PY>0;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bâtiment technique;Bâtiment de stockage;25  CHEMIN ABDELKADER GADOUCHE;ALGER;N/A;99000;DZ001;Étranger;Algerie;;;Affaires étrangères;Affaires étrangères (services extérieurs ).;Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;0.0;;;;;;Non;2021-12-31
"M$.U/=Y?QSX^,L#7P.SG\""/L9GM=7""F.TT;OW[Z%0BW9)/IL[+IZ.ME48C8`>E=USFQ)";H$AS?Q:?F<\@+G4?>QW+G&;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bâtiment culturel;Équipement culturel;35  SALAHADDINE;ERBIL;N/A;99999;IQ002;Étranger;Iraq;;;Affaires étrangères;Affaires étrangères (Ets culturels et de recherche);Etat;Organismes publics étrangers;Autre Proprié.;588.0;;;;;;Oui;2021-12-31
"I`(L;2-U7(;P.HV$XQW29&/D[T&DSE-63&$E93:'IKI1#/L_)!?6F>_#&:0>X?%<UE](";"NE?V^))ZA3%!,>@J""F0U*(";Bien contrôlé par le ministère de la Justice;Bien contrôlé par le ministère de la Justice;Logement;Logement;;;35;;;Bretagne;France;;;Justice;Services Pénitentiaires;Etat;PERSONNE MORALE DE DROIT PRIVE Société, association, groupement éco... Partenaire générique;Pers.Mor.Privé;125.0;;;;1982;;Non;2021-12-31
MIPY/119535/371026;IG00100082467;SITE PENITENTIAIRE LANNEMEZAN;TER ASSIETTE ENCEINTE SITE PENITENTIAIRE LANNEMEZAN;Espace naturel;Terrain d'assiette étb. Pénitent.;R DES SALIGUES;Lannemezan;65;65300;65258;Occitanie;France;43.110818;0.377655;Justice;Services Pénitentiaires;Etat;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;0.0;;;;;;Non;2021-12-31
PACA/126390/171443;IB00100011497;SERVICES DU RECTORAT;SERVICES DU RECTORAT;Bureau;Rectorat;ROTONDE DU BOIS DE L'AUNE ZAC;Aix-en-Provence;13;13090;13001;Provence-Alpes-Côte-d'Azur;France;43.526542;5.417041;Education nationale - Enseignement supérieur;Education nationale Services déconcentrés;Etat;PERSONNE MORALE DE DROIT PRIVE Société, association, groupement éco... Partenaire générique;Pers.Mor.Privé;1811.0;76631.87;;Satisfaisant;;Oui;Oui;2021-12-31
KAZ*>/4_5C+OTE+K529-E%/GR)?(:/86D^0ZO^DJJXLE-/I,STR7LHVKAVP?_#_1GVK/;"OH*.\"">](9`=F2D#AS<?9#";Tour Radar - Palaiseau;TERRAIN L ORME DU GUE;Espace naturel;Espace naturel;L ORME DU GUE;Palaiseau;91;91120;91477;Ile-de-France;France;48.70429;2.227639;Agriculture;Enseignement agricole.;Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;19137.0;;;;;;Non;2021-12-31
"KAZ*>/4_5C+OTE+K529-E%/H_:P@_^NZ#+)""^(IU^'F-!/GEG>J?`ICCS):9XZ6@0PU%";J8Q7*:I7L-O\@ECW9)=.$&;Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Logement;Logement;;;78;;;Ile-de-France;France;;;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;157.0;;;Peu satisfaisant;1945;;Non;2021-12-31
"KP,:<9(Z.T'2CW7X,5/[.+/F?H^@0-V>S^8OON_+4""HY//K$.:37MC8#VS1E7,^)(J],";M5S3FM!7,7N4']&J2R7(Q(;Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Bâtiment technique;Bâtiment technique;;;38;;;Auvergne - Rhône-Alpes;France;;;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;232.0;;;Satisfaisant;1913;;Non;2021-12-31
"NL&!4]$M?*K-F7IH>).]L$/AK=J<<EQ/3\SS$%J^MPEQ(/OZ9=]M]!`3!P$/""'9O*I!%";MS0*8@,%\.TO/0Y`<KP'=0;SITE BOIS HOBEY;BOIS HOBEY;Espace naturel;Espace naturel;;;27;;;Normandie;France;-;-;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;886850.0;;;;;;Non;2021-12-31
"P'\>2$$=;!(=.1JT@;Z!0!/P/687'D5+D+F)J""^;2@FU+/IK6""9$B2/[IK!U0@_.___!";"KB#8O^SJ4\U%HC\E*$23""#";ECOLE NATIONALE D EQUITATION - LE CADRE NOIR;ENSEMBLE DECARPENTRY - MARCHEUR AUTOMATIQUE;Bâtiment d'enseignement ou de sport;Bâtiment d'enseignement ou de sport;AV DE L'ECOLE NATIONALE;Saumur;49;49400;49328;Pays de la Loire;France;47.263532;-0.129081;Agriculture;IFCE - Institut français du cheval et de l'équitation;EPA;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;226.0;;;Satisfaisant;1997;;Oui;2021-12-31
P[(D'+'+,UJ=YM^ZS!,<V-/J2@I19=#13RT]16#,>>S1,/G=.B&#R4\TZIYP)]+[,RY(;"MA!BT]1O%YF5&_[;]_KTV!";Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Bâtiment technique;Bâtiment technique;;;84;;;Provence-Alpes-Côte-d'Azur;France;;;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;0.0;;;Satisfaisant;1988;;Non;2021-12-31
AQUI/180431/362733;IB00100199461;DTPJJ Aquitaine nord &délégation conservatoire du littoral;DTPJJ AQUITAINE NORD local de 182,50m²;Bureau;Immeuble de bureaux;74  R GEORGES BONNAC;Bordeaux;33;33000;33063;Nouvelle Aquitaine;France;44.83944;-0.585404;Justice;Protection Judiciaire de la Jeunesse;Etat;PERSONNE PHYSIQUE;Personne Physique;272.0;19375.37;;Satisfaisant;;Non;Non;2021-12-31
RALP/102486/371143;IG00100082603;SITE PENITENTIAIRE CHAMBERY;TER ASSIETTE ENCEINTE;Espace naturel;Terrain d'assiette étb. Pénitent.;LD PONT D HYERES;Chambéry;73;73000;73065;Auvergne - Rhône-Alpes;France;45.601702;5.925458;Justice;Services Pénitentiaires;Etat;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;0.0;;;;;;Non;2021-12-31
"M$.U/=Y?QSX^,L#7P.SG\""/NL[?Z=+(R#U+;S3;-0LOM#/B$P0AAF%^DR8H6&E&G\OE,";"C1C';:?%-`N:C$""/N0@!Z)";Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bâtiment technique;Bâtiment de stockage;0  Boulevard MOULAY YOUSSEF ROUTE EL HAJEB;MEKNES;N/A;99000;MA010;Étranger;Maroc;;;Affaires étrangères;AEFE-Agence pour l'enseignement fançais à l'étranger;EPA;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;128.0;;;;;;Non;2021-12-31
"M$.U/=Y?QSX^,L#7P.SG\""/P\OA0GX!+$>+\$SL]Q\C]./DIR&R!CWO3'=Q9;LF!5FA,";E$]'ZO0:^MGTJG&,->)-*&;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bâtiment d'enseignement ou de sport;Bâtiment scolaire/enseignement;7  SEORAE-RO, SEOCHO-GU;SEOUL;N/A;990-000;KR001;Étranger;Coree (République de);;;Affaires étrangères;AEFE-Agence pour l'enseignement fançais à l'étranger;EPA;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;2898.0;;;;1970;;Oui;2021-12-31
RALP/194570/433154;IB00100264529;BAIL IEN RILLIEUX LA PAPE;IEN RILLIEUX LA PAPE;Bureau;Inspection de l'Education Nationale;1  R DU LUXEMBOURG;Rillieux-la-Pape;69;69140;69286;Auvergne - Rhône-Alpes;France;45.82141;4.905237;Education nationale - Enseignement supérieur;Education nationale Services déconcentrés;Etat;Société d'économie mixte  Partenaire générique;SEM;80.87;1441.73;Gaz naturel;Satisfaisant;;Non;Non;2021-12-31
BRET/170688/378133;IB00100213775;ECOLE DES HAUTES ETUDES EN SANTE PUBLIQUE;EHESP - LABORATOIRE;Bâtiment technique;Laboratoire;AV DU PROFESSEUR LEON BERNARD;Rennes;35;35000;35238;Bretagne;France;48.117427;-1.700323;Affaires sociales - Travail;EHESP - Ecole des hautes études en santé publique;EPSCP;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;2144.0;;;Pas satisfaisant;1980;;Non;2021-12-31
DOM1/111315/196710;IB00100034540;;;Bureau;Immeuble de bureaux;PL DE LA CONDAMINE;Kourou;973;97310;97304;Départements d'Outre-Mer;France;5.163755;-52.640969;Affaires sociales - Travail;Ministère du travail (services déconcentrés);Etat;PERSONNE MORALE DE DROIT PRIVE Société, association, groupement éco... Partenaire générique;Pers.Mor.Privé;84.0;;;Satisfaisant;;;Oui;2021-12-31
RALP/193450/429867;IB00100260388;UNITE TERRITORIALE DIRECCTE BOURGOIN JALLIEU;UNITE TERRITORIALE DIRECCTE BOURGOIN-JALLIEU;Bureau;Immeuble de bureaux;6  ISAAC ASIMOV;Bourgoin-Jallieu;38;38300;38053;Auvergne - Rhône-Alpes;France;45.589739;5.249392;Affaires sociales - Travail;DIRECCTE - transfert en cours;Etat;PERSONNE MORALE DE DROIT PRIVE Société, association, groupement éco... Partenaire générique;Pers.Mor.Privé;248.0;;;Peu satisfaisant;2000;;Oui;2021-12-31
IDF1/127784/361861;IB00100198783;ARCHIVES NATIONALES;HOTEL D'ASSY;Bureau;Immeuble de bureaux;60  R DES FRANCS BOURGEOIS;Paris 3e Arrondissement;75;75003;75103;Ile-de-France;France;48.859968;2.357262;Culture;Culture-Patrimoines-Archives de France;Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;1227.5;12284.59;;Satisfaisant;1642;;Non;2021-12-31
AUVE/134009/181755;IG00100005694;CROUEL;DRAC - MENHIR DE BEAULIEU;Espace naturel;Terrain en friche;;;63;;;Auvergne - Rhône-Alpes;France;;;Culture;Culture-Patrimoines-Archéologie;Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;9069.0;;;;;;Non;2021-12-31
NORP/175194/350475;IB00100187471;Centre d'Action Educative de Lens (DDPJJ);Bâtiment du CAE de Lens;Bâtiment sanitaire ou social;Bât. social sans hébergement;66 BIS 68  R CASIMIR BEUGNET;Lens;62;62300;62498;Hauts de France;France;50.43305;2.830531;Justice;Protection Judiciaire de la Jeunesse;Etat;PERSONNE MORALE DE DROIT PRIVE Société, association, groupement éco... Partenaire générique;Pers.Mor.Privé;297.67;20723.28;Gaz naturel;Très satisfaisant;;Non;Oui;2021-12-31
CHAR/101739/371100;IG00100082553;SITE PENITENTIAIRE REIMS;TER ASSIETTE ENCEINTE;Espace naturel;Terrain d'assiette étb. Pénitent.;23  BD ROBESPIERRE;Reims;51;51100;51454;Grand-Est;France;49.270403;4.028262;Justice;Services Pénitentiaires;Etat;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;0.0;;;;;;Non;2021-12-31
"DS@@Q(4([QDZJK1^6&13+)/D6XYPRK_'4:5%^T2G.;J1&/I5L""$MA'/;ZT;B_6^R,RG$";J]#Y46MG`U1S7X&SS)<4#$;Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Bâtiment technique;Bâtiment technique;;;66;;;Occitanie;France;;;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;0.0;;;Satisfaisant;0001;;Non;2021-12-31
"I5+@C$WMLM]/;9V+""ESLU!/D(?>4+J[CT1HT,')\3\TI'/N(Z%/T'56CJVL^3:LNUYE""";J5'QO^_JZBUSS\\>+P^1H$;SITE BURAT;FORET BURAT;Espace naturel;Espace naturel;;;31;;;Occitanie;France;-;-;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;7076952.0;;;;;;Non;2021-12-31
"I5+@C$WMLM]/;9V+""ESLU!/OCG4]C%8P#GA86GIF<EV-""/C<7'#_&&#;%#'ACI[[NJ7(";BYQA4?M,4XM_]Y!'UQXJ*/;ECOLE NATIONALE  VETERINAIRE TOULOUSE;22,2;Bâtiment sanitaire ou social;Bâtiment sanitaire ou social;23  CHE DES CAPELLES;Toulouse;31;31000;31555;Occitanie;France;43.59923;1.383708;Agriculture;ENVT - Ecole nationale vétérinaire de Toulouse;EPA;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;1600.0;;;;;;Oui;2021-12-31
"K#O+>)+SNUOQJKOD$""XCB%/HKD0]:=>'S3HY7S.E$(U)(/N-\(9OC_F3U[^-'!Q7KU!0";"IMD1P&9Q&MY,EGC4V>]""N-";SITE MIERS;MIERS;Espace naturel;Espace naturel;;;15;;;Auvergne - Rhône-Alpes;France;-;-;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;3592820.0;;;;;;Non;2021-12-31
KAZ*>/4_5C+OTE+K529-E%/L5@R_C)5P4#8:[G?6XU]A!/F,5>H81&Q\IR9/KU*8B]_!;"EMUL<*L!=#Y,""<XD8&L:&.";Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Bâtiment technique;Bâtiment technique;;;77;;;Ile-de-France;France;;;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;0.0;;;Pas satisfaisant;;;Non;2021-12-31
"OR<C@O-.K<<&#@XJ?)!V40/O_=JLR@FA#8KK""^A28$A=//D$]Y54S)LD1Q<MF'=N""F5#";N.!<03L9P#/Y/3?3-\,I9%;Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Bâtiment technique;Bâtiment technique;;;80;;;Hauts de France;France;;;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;0.0;;;Satisfaisant;;;Non;2021-12-31
"A[1[,-&58<DY@+#?0U;5P#/J_K1Q/IL:C*L)J,S%,ISE*/LXG3TJF^1DQ>5@""N>X[I5+";"KT0-[N?%%-""['7:N6PXKD.";Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Bâtiment technique;Bâtiment technique;;;57;;;Grand-Est;France;;;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;0.0;;;Peu satisfaisant;1903;Non;Non;2021-12-31
"A[1[,-&58<DY@+#?0U;5P#/J_K1Q/IL:C*L)J,S%,ISE*/N'XDF[4H0C:7`5WYOI0[E&";J,F2*4VW@0$]PYT[LIEW]%;Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Bâtiment technique;Bâtiment technique;;;57;;;Grand-Est;France;;;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;0.0;;;Pas satisfaisant;;Non;Non;2021-12-31
"F[Y9T\K[![9%57TY@P<GL./B4""$3D^&)$`ID#_+*W-V=!/L;W`,,,R=D;1R;`-PA!AU'";M>\(,BMCZTT@5=1:4+R?A$;SITE ARC-CHATEAUVILLAIN;ARC-CHATEAUVILLAIN;Espace naturel;Espace naturel;;;52;;;Grand-Est;France;-;-;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;84677895.0;;;;;;Non;2021-12-31
"K+Q""+.MRN=T2(.JQJG]+]*/F9T6*R!<6S@=*27ZS&^`9""/HU>!@1N+I;T=4(#6`7UZ'#";DE=F$GIU8A^)M`ZV&_=#4#;Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Bâtiment technique;Bâtiment technique;;;71;;;Bourgogne - Franche-Comté;France;;;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;0.0;;;Satisfaisant;1979;;Non;2021-12-31
CENT/102354/207323;IB00100031971;SITE 3 JURIDICTIONS BLOIS;SITE 3 JURIDICTIONS BLOIS;Bureau;Tribunal;15  R DU PERE BROTTIER;Blois;41;41000;41018;Centre - Val-de-Loire;France;47.589568;1.336147;Justice;Justice (services judiciaires);Etat;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;1766.0;186384.45;;Très satisfaisant;1967;Non;Oui;2021-12-31
PACA/110234/205572;IB00100035136;IEN GRASSE IMMEUBLE COUDERC;IEN GRASSE IMMEUBLE COUDERC;Bureau;Inspection de l'Education Nationale;13  BD FRAGONARD;Grasse;6;06520;06069;Provence-Alpes-Côte-d'Azur;France;43.657071;6.922715;Education nationale - Enseignement supérieur;Education nationale Services déconcentrés;Etat;COMMUNE  Partenaire générique;Commune;135.0;8556.62;;Satisfaisant;;Oui;Non;2021-12-31
HNOR/126384/146278;IB00100017944;IEN de la circonscription de Bernay;BUREAU DE L'INSPECTION DEPARTEMENTALE;Bureau;Inspection de l'Education Nationale;2  R DE LA CONCORDE;Bernay;27;27300;27056;Normandie;France;49.092954;0.60131;Education nationale - Enseignement supérieur;Education nationale Services déconcentrés;Etat;COMMUNE  Partenaire générique;Commune;140.0;6312.0;;Satisfaisant;;;Oui;2021-12-31
IDF1/193873/431231;IB00100262060;IEN CARRIERES-SOUS-POISSY;IEN CARRIERES-SOUS-POISSY;Bureau;Inspection de l'Education Nationale;32  ALL AIME CESAIRE;Carrières-sous-Poissy;78;78955;78123;Ile-de-France;France;48.938283;2.021641;Education nationale - Enseignement supérieur;Education nationale Services déconcentrés;Etat;COMMUNE  Partenaire générique;Commune;70.0;3319.11;;Satisfaisant;;Oui;Non;2021-12-31
DOM1/111749/190940;IB00100037370;INSPECTION DEPARTEMENTALE DE SAINTE-ROSE;INSPECTION DEPARTEMENTALE DE SAINTE-ROSE;Bureau;Inspection Académique;0  Cité DES FONCTIONNAIRES;Sainte-Rose;971;97115;97129;Départements d'Outre-Mer;France;16.329948;-61.697855;Education nationale - Enseignement supérieur;Education nationale Services déconcentrés;Etat;COMMUNE  Partenaire générique;Commune;122.0;3053.0;;Satisfaisant;;Non;Oui;2021-12-31
NORP/142013/166739;IB00100026094;Inspection du Travail de LENS;DDETS - LENS;Bureau;Immeuble de bureaux;95  AV ALFRED VAN PELT;Lens;62;62300;62498;Hauts de France;France;50.432376;2.845177;Affaires sociales - Travail;Ministère du travail (services déconcentrés);Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;492.0;85766.36;;Peu satisfaisant;1967;Oui;Oui;2021-12-31
MIPY/101126/221438;IB00100042976;CATHEDRALE SAINT ETIENNE - TOULOUSE;CATHEDRALE SAINT ETIENNE TOULOUSE;Édifice du culte;Édifice du culte;0  PL ST ETIENNE;Toulouse;31;31000;31555;Occitanie;France;43.599754;1.448818;Culture;Culture-Patrimoines-MonumentsHistoriques;Etat;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;3860.0;;;;1200;;Oui;2021-12-31
"M$.U/=Y?QSX^,L#7P.SG\""/ELHNHE2/CS+X0_!X-RBJ)./L&7'JE,164X""P&H$C=$WQ!";"N(0_.3^0)!\D5$S(=?U;M""";Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Logement;Immeuble d'habitation;;;;;;Étranger;Algerie;;;Affaires étrangères;Affaires étrangères (services extérieurs ).;Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;358.0;;;;2004;;Non;2021-12-31
"M$.U/=Y?QSX^,L#7P.SG\""/K(Y<9,(@[$?^.]J1[*1P-(/BG]G/]@>!4W+RQ]7G6.\A0";B0><RP'3>L@##9_9VB9:*-;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bâtiment d'enseignement ou de sport;Installation sportive bâtie;92 BIS  ROUTE DE L'HOPITAL MILITAIRE - EL OMRANE;TUNIS;N/A;9900;TN009;Étranger;Tunisie;;;Affaires étrangères;AEFE-Agence pour l'enseignement fançais à l'étranger;EPA;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;214.0;;;;;;Oui;2021-12-31
"M$.U/=Y?QSX^,L#7P.SG\""/MM1][':2NDV$7N^3PFMGE#/LUZ;],,CJ4:]N#MR0>.N1&";"G7^>5)R""7>6OZU/F22O$+!";Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bureau;Immeuble de bureaux;24  RUE ISANOVA - APPARTEMENT 26;BICHKEK;N/A;99999;KG002;Étranger;Kirghizistan;;;Affaires étrangères;Affaires étrangères (Ets culturels et de recherche);Etat;Organismes publics étrangers;Autre Proprié.;164.7;;;;;;Non;2021-12-31
"EL7?EA[BJ0&.;)[CUKB>S*/J!IN`3;2;D:C$VD.PZSBE&/L<S@-MTY030-IXP#9@[DQ/";C$F]'\$(8_:?QU/CY79T6);Bien contrôlé par le ministère de la Justice;Bien contrôlé par le ministère de la Justice;Logement;Logement;;;59;;;Hauts de France;France;;;Justice;Services Pénitentiaires;Etat;PERSONNE MORALE DE DROIT PRIVE Société, association, groupement éco... Partenaire générique;Pers.Mor.Privé;70.0;;;;;;Non;2021-12-31
KP,:<9(Z.T'2CW7X,5/[.+/F*!L!Y]!$TD2!2ML,0,P9-/H<((KSJ#^TUOXC7W3/L`I*;"E?TW!X!1\;G%NNTQJ$;5*&";Bien contrôlé par le ministère de la Justice;Bien contrôlé par le ministère de la Justice;Logement;Logement;;;26;;;Auvergne - Rhône-Alpes;France;;;Justice;Services Pénitentiaires;Etat;PERSONNE MORALE DE DROIT PRIVE Société, association, groupement éco... Partenaire générique;Pers.Mor.Privé;109.0;;;;2000;;Non;2021-12-31
PACA/119609/466068;IB00100302922;ADMINISTRATION PENITENTIAIRE MARSEILLE BAUMETTES 9ème;PARKING DU PERSONNEL - BAUMETTES 2;Espace aménagé;Aire de stationnement;TRA DE RABAT;Marseille 9e Arrondissement;13;13009;13209;Provence-Alpes-Côte-d'Azur;France;43.236782;5.413333;Justice;Services Pénitentiaires;Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;1380.0;;;;2017;;Non;2021-12-31
"O;]D')`T)&>RY6]""<_D(T!/C1$$SIB$TCF?KPV8`EZJE'/M54AB+74A\ZE.6NE0ZYJ//";CCTWUG[BN-X0PNTOZC.]^+;Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Bâtiment technique;Bâtiment technique;;;67;;;Grand-Est;France;;;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;0.0;;;Pas satisfaisant;;Non;Non;2021-12-31
RALP/118148/133752;IB00100035214;Insp de l'Education nationale ST MARCELL;INSPECTION DEP DE L'EDUCATION NATIONALE;Bureau;Inspection Académique;LD LA PLAINE;Saint-Marcellin;38;38160;38416;Auvergne - Rhône-Alpes;France;45.146066;5.320291;Education nationale - Enseignement supérieur;Education nationale Services déconcentrés;Etat;COMMUNE  Partenaire générique;Commune;60.0;;;;;;Non;2021-12-31
IDF1/170222/319322;IB00100176307;ARC DE TRIOMPHE;ARC DE TRIOMPHE DE L ETOILE;Bâtiment culturel;Musée;PL CHARLES DE GAULLE;Paris 8e Arrondissement;75;75008;75108;Ile-de-France;France;48.87422;2.295618;Culture;CMN - Centre des monuments nationaux;EPA;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;8834.0;292284.89;;Peu satisfaisant;;;Oui;2021-12-31
LIMO/141922/172532;IB00100039824;DEPOT DE FOUILLES CHASTEAUX CORREZE;Dépôt archéologique;Bâtiment technique;Bâtiment technique;;;19;;;Nouvelle Aquitaine;France;;;Culture;Culture-Patrimoines-Archéologie;Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;364.33;1534.56;;;1950;;Non;2021-12-31
IDF1/168132/317799;IB00100176372;DEPENDANCE EPV_POSTE DES ARCADES DE BUC;POSTE DE GARDE DES ARCADES DE BUC;Bâtiment technique;Bâtiment technique;;;78;;;Ile-de-France;France;;;Culture;EPV - Ets public du musée et du domaine nat de Versailles;EPA;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;120.0;;;;1684;;Non;2021-12-31
"M$.U/=Y?QSX^,L#7P.SG\""/F5Z=$YW>%#2!@58)`=(C])/HJ\,H>JH[$-U6%?_VA[GM!";"E%11-9`H^8\Y;4%\O76WG-";Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Logement;Maison individuelle;;;;;;Étranger;Nigeria;;;Affaires étrangères;Affaires étrangères (services extérieurs ).;Etat;Organismes publics étrangers;Autre Proprié.;302.0;;;;1959;;Non;2021-12-31
